epoch (val_ndcg, val_hr) (test_ndcg, test_hr)
20 (np.float64(0.30110583037176136), 0.4642306845696676) (np.float64(0.2633126182931887), 0.41989863375936537)
40 (np.float64(0.31535523036825097), 0.4790954219525648) (np.float64(0.2820580359595649), 0.4359343826202616)
60 (np.float64(0.32072242930193084), 0.47579575596816975) (np.float64(0.2883187604691561), 0.44379929886064856)
80 (np.float64(0.32263512342380785), 0.47906771236054346) (np.float64(0.2873454440595456), 0.43796909492273733)
100 (np.float64(0.3196318831549555), 0.4747597481497846) (np.float64(0.28094151674466317), 0.42769163092488727)
120 (np.float64(0.3166361459776327), 0.4716253443526171) (np.float64(0.28721501867758065), 0.43838028169014087)
140 (np.float64(0.31284338802938805), 0.4675583066209793) (np.float64(0.288139271249715), 0.4351638715334868)
160 (np.float64(0.3208813406612591), 0.4729178157749586) (np.float64(0.2865065040955506), 0.4346347883307743)
180 (np.float64(0.3195577116614613), 0.46987024411700024) (np.float64(0.2895792485020792), 0.4386911975322243)
200 (np.float64(0.3259969000623384), 0.47686050346268) (np.float64(0.29360648326142125), 0.44061048440610484)
220 (np.float64(0.3169892826912571), 0.46614468460520514) (np.float64(0.2837279238838852), 0.42216097023153254)
240 (np.float64(0.31963573831228215), 0.46958342517081775) (np.float64(0.2891820408841573), 0.43423085411608914)
260 (np.float64(0.32328807631614803), 0.47161668695363507) (np.float64(0.28261731584310795), 0.42857142857142855)
280 (np.float64(0.32194231908837057), 0.4701418673705048) (np.float64(0.28393380084240794), 0.430833979399712)
300 (np.float64(0.32413708835609983), 0.47907742998352554) (np.float64(0.2852340801444014), 0.42819528250137134)
